Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BYDDF,TM,TSLA,BYDDF,TM,TSLA,BYDDF,TM,TSLA,BYDDF,TM,TSLA,BYDDF,TM,TSLA
Date,,,,,,,,,,,,,,,
2018-01-02,2.85831356048584,104.69963073730469,21.368667602539062,2.8871853868196915,104.74856524278762,21.474000930786133,2.839065676263272,103.72090329206209,20.733333587646484,2.839065676263272,103.93296318681702,20.799999237060547,537300,83500,65283000
2018-01-03,2.9577603340148926,106.1351089477539,21.149999618530273,2.9577603340148926,106.22482635592965,21.683332443237305,2.887184997501647,104.85459798062693,21.036666870117188,2.887184997501647,104.95246699129332,21.399999618530273,545100,162200,67822500
2018-01-04,2.912849187850952,107.7907943725586,20.974666595458984,2.9705928305372975,107.7907943725586,21.23666763305664,2.9032250179503887,107.08937074678687,20.3786678314209,2.9096405193431925,107.09752234940004,20.857999801635742,376200,161800,149194500
2018-01-05,2.890392780303955,109.17732238769531,21.10533332824707,2.9256807931303337,109.18547399004072,21.14933204650879,2.8679371476100153,108.54114893930883,20.799999237060547,2.8679371476100153,108.5656161915395,21.107999801635742,234000,135300,68868000
2018-01-08,2.8968088626861572,109.91952514648438,22.42733383178711,2.9128492225290072,109.9358283506196,22.468000411987305,2.842272740594111,108.98156821056108,21.03333282470703,2.890392672858449,109.27518767251709,21.066667556762695,365400,131200,147891000
2018-01-09,2.893601179122925,109.06315612792969,22.246000289916992,2.909640621526741,109.15287354964238,22.586666107177734,2.8839772383372178,108.54931885401183,21.82666778564453,2.909640621526741,109.14472194592177,22.3439998626709,165000,148000,107199000
2018-01-10,2.8294413089752197,111.24897003173828,22.31999969482422,2.8518967116214435,111.9748609397863,22.46666717529297,2.8230248896261267,110.99613344340176,22.0,2.832648830291232,111.5181222711532,22.14666748046875,313800,389500,64648500
2018-01-11,2.8454816341400146,111.6649169921875,22.530000686645508,2.8454816341400146,111.6649169921875,22.987333297729492,2.813401141370466,110.620939535339,22.21733283996582,2.813401141370466,111.48548220005482,22.349332809448242,209100,180000,99682500
2018-01-12,2.9385125637054443,111.90143585205078,22.4146671295166,2.9385125637054443,111.90143585205078,22.694000244140625,2.883977355935057,111.28157813742783,22.244667053222656,2.883977355935057,111.48548017522135,22.575332641601562,665700,101200,72376500
2018-01-16,2.8454816341400146,112.52944946289062,22.67066764831543,2.8807689600863586,113.77732884819092,23.0,2.8358576928167243,112.21951440543059,22.31999969482422,2.8807689600863586,113.53264393152203,22.502666473388672,519000,257800,97114500
